,Age,Gender,Height_CM,Weight_KG,Body_Fat,Diastolic,Systolic,Grip_Force,Sit_and_BendForward_CM,Sit_Up_Counts,Broad_Jump_CM,Performance
0,27,M,172.3,75.24,21.3,80,130,54.9,18.4,60,217,Average
1,25,M,165.0,55.8,15.7,77,126,36.4,16.3,53,229,Strong
2,31,M,179.6,78.0,20.1,92,152,44.8,12.0,49,181,Average
3,32,M,174.5,71.1,18.4,76,147,41.4,15.2,53,219,Good
4,28,M,173.8,67.7,17.1,70,127,43.5,27.1,45,217,Good
5,36,F,165.4,55.4,22.0,64,119,23.8,21.0,27,153,Good
6,42,F,164.5,63.7,32.2,72,135,22.7,0.8,18,146,Weak
7,33,M,174.9,77.2,36.9,84,137,45.9,12.3,42,234,Good
8,54,M,166.8,67.5,27.6,85,165,40.4,18.6,34,148,Average
9,28,M,185.0,84.6,14.4,81,156,57.9,12.1,55,213,Good
10,42,M,169.2,65.4,19.3,63,110,43.5,16.0,68,211,Strong
11,57,F,153.0,49.0,20.9,69,106,21.5,30.0,0,90,Weak
12,27,F,156.0,53.9,35.5,69,116,23.1,13.1,28,144,Average
13,22,M,175.7,67.9,11.3,71,103,52.5,19.2,55,232,Average
14,24,M,181.0,84.4,20.4,80,120,48.9,7.2,54,213,Average
15,45,F,159.0,63.1,30.9,93,144,34.1,19.0,30,155,Strong
16,25,F,164.2,66.6,30.2,82,120,25.7,22.9,39,178,Average
17,26,M,179.9,71.5,9.7,64,135,59.6,17.8,61,239,Strong
18,26,M,169.2,70.6,21.0,63,129,41.3,15.1,53,225,Good
19,21,F,162.7,47.2,18.9,78,133,25.4,20.5,36,137,Good
20,25,F,161.7,63.36,31.3,89,128,25.0,10.7,39,160,Average
21,59,F,155.9,62.7,30.2,76,143,36.8,29.1,25,122,Strong
22,38,M,166.7,67.3,23.2,70,111,26.1,19.7,62,215,Weak
23,44,M,170.0,63.3,12.9,65,115,44.5,11.6,49,196,Good
24,23,F,164.1,59.4,29.6,91,126,24.6,27.5,32,169,Average
25,62,M,169.0,70.7,30.5,96,146,39.3,4.0,43,131,Average
26,47,F,158.3,53.5,29.2,70,117,25.9,8.1,32,151,Weak
27,48,M,175.8,84.5,31.4,83,125,33.8,3.7,24,211,Weak
28,36,M,176.0,81.3,24.5,81,139,46.2,8.1,54,232,Average
29,50,F,159.8,57.1,24.4,63,103,30.8,24.4,30,143,Strong
30,25,M,170.9,70.7,15.7,80,127,36.4,26.4,38,246,Average
31,26,M,176.7,77.2,16.3,66,129,50.0,9.1,51,223,Average
32,28,F,159.5,51.54,24.5,82,123,37.2,23.0,37,145,Strong
33,30,M,172.1,79.5,26.7,91,148,34.7,-2.0,40,192,Weak
34,49,F,151.5,52.0,27.6,77,144,23.8,21.3,39,154,Good
35,40,M,177.6,88.6,20.3,93,138,51.5,12.1,54,224,Average
36,21,M,172.5,66.4,12.5,82,130,51.2,6.3,46,178,Weak
37,31,M,177.5,79.5,23.0,90,148,51.2,18.4,62,208,Strong
38,32,M,178.0,84.5,21.2,68,130,52.3,16.2,62,232,Strong
39,27,M,177.6,79.7,22.8,59,108,48.0,1.8,59,219,Weak
40,42,M,168.0,61.0,14.9,94,151,28.9,1.0,32,230,Weak
